link|name|year|country|date|genre|duration|rating|director|actors
http://www.imdb.com/title/tt2582802|Whiplash|2014|US|2014-10-10|Drama,Music|105|8.4|Damien Chazelle|Miles Teller,J.K. Simmons,Melissa Benoist,Austin Stowell,Jayson Blair
http://www.imdb.com/title/tt0111161|The Shawshank Redemption|1994|US|1994-09-10|Drama,Crime|142|8.3|Frank Darabont|Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,Clancy Brown
http://www.imdb.com/title/tt3170832|Room|2015|CA|2015-10-16|Drama|117|8.2|Lenny Abrahamson|Brie Larson,Jacob Tremblay,Joan Allen,Sean Bridgers,William H. Macy
http://www.imdb.com/title/tt0816692|Interstellar|2014|CA|2014-11-05|Adventure,Drama,Science Fiction|169|8.2|Christopher Nolan|Matthew McConaughey,Anne Hathaway,Jessica Chastain,Michael Caine,Casey Affleck
http://www.imdb.com/title/tt0068646|The Godfather|1972|US|1972-03-15|Drama,Crime|175|8.2|Francis Ford Coppola|Marlon Brando,Al Pacino,James Caan,Richard S. Castellano,Robert Duvall
